Five_Month_Rank,RegionName,StateName,Most_Recent_Rent,Most_Recent_Sale,Sales_Per_Rent_Most_Recent,Five_Month_Rent,Five_Month_Sale,Five_Month_Avg,GRM,Percent_Rule
126,"Jackson, MI",MI,1035.95703125,167225,161.42078769254,932.150659179688,166991.6,179.146577171287,14.9288814309406,0.00558202124645603
127,"Clovis, NM",NM,1142.4013671875,189600,165.966187931637,1116.92778320313,200171.8,179.216421160146,14.9347017633455,0.00557984582844899
128,"Harrisburg, PA",PA,1296.33947753906,233851,180.393333730711,1304.49228515625,234087.4,179.447132546254,14.9539277121879,0.00557267193858469
129,"Indianapolis, IN",IN,1457.31298828125,255955,175.634885613606,1457.42521972656,261866.4,179.677417719676,14.9731181433063,0.00556552967362962
130,"Chattanooga, TN",TN,1570.50732421875,278532,177.351608429178,1557.01645507813,281320.2,180.67901535818,15.0565846131817,0.00553467705155238
131,"Oklahoma City, OK",OK,1306.39343261719,232074,177.644799955148,1306.67939453125,236106.4,180.691913401374,15.0576594501145,0.00553428197851159
132,"Odessa, TX",TX,1305.66235351563,202940,155.430689606363,1269.57214355469,229782.6,180.992156425731,15.0826797021442,0.00552510130686435
133,"Hammond, LA",LA,1161.45092773438,209908,180.729116476289,1167.96916503906,211440,181.03217647268,15.0860147060566,0.00552387989519042
134,"Visalia, CA",CA,1806.74987792969,324791,179.765336623224,1805.23757324219,327632.2,181.489796609748,15.124149717479,0.00550995162637307
135,"Tulsa, OK",OK,1286.78332519531,225984,175.619310240673,1278.62482910156,232283.4,181.666580151753,15.1388816793127,0.00550458977740795
136,"Waco, TX",TX,1455.38928222656,252040,173.177034541858,1458.91384277344,265038.6,181.668438690083,15.1390365575069,0.00550453346332737
137,"Hartford, CT",CT,1613.50085449219,291389,180.594264445994,1621.15378417969,295509,182.283138640995,15.1902615534163,0.00548597093211945
138,"York, PA",PA,1281.02197265625,236367,184.514399475821,1276.40356445313,232720.2,182.324937410927,15.1937447842439,0.00548471324987313
139,"Tallahassee, FL",FL,1381.51135253906,254608,184.296712098716,1384.44318847656,252440.4,182.340743268624,15.195061939052,0.00548423781802185
140,"Bowling Green, KY",KY,1308.42358398438,214478,163.920921806436,1288.21916503906,234932.6,182.370055015348,15.1975045846124,0.00548335635428656
141,"McAllen, TX",TX,1162.23693847656,208568,179.453941872977,1151.77807617188,210276.8,182.567114577219,15.2139262147683,0.00547743772100334
142,"Springfield, OH",OH,858.776184082031,150509,175.259867227086,837.952893066406,153008.2,182.597615290857,15.2164679409047,0.005476522781566
143,"Kokomo, IN",IN,795.964416503906,149771,188.16293403898,809.016088867187,148014.8,182.956559253668,15.2463799378056,0.0054657783469436
144,"Sierra Vista, AZ",AZ,1396.65441894531,243334,174.226348837069,1338.08894042969,245138.4,183.200378235905,15.2666981863254,0.0054585040141801
145,"North Port, FL",FL,2541.45288085938,436158,171.617582716118,2478.87602539062,456124.2,184.004442064876,15.3337035054064,0.00543465140720581
146,"Muskegon, MI",MI,1084.91247558594,191617,176.619777458557,1082.81364746094,199654,184.384451071672,15.3653709226393,0.00542345080720115
147,"Norwich, CT",CT,1610.00109863281,297142,184.560122506952,1640.15361328125,302809,184.622341192913,15.3851950994094,0.0054164625664404
148,"Virginia Beach, VA",VA,1627.97045898438,303714,186.559896295339,1627.74943847656,301303.6,185.104410345855,15.4253675288212,0.00540235642214883
149,"Yuma, AZ",AZ,1498.55773925781,272726,181.992320252587,1467.01147460938,271619.8,185.151789676577,15.4293158063814,0.00540097398867599
150,"Augusta, GA",GA,1323.95581054688,241025,182.049127380197,1308.3982421875,242749,185.531432382659,15.4609526985549,0.0053899222743966
151,"Monroe, LA",LA,1082.47399902344,195441,180.550295135328,1097.9259765625,204206.4,185.992866877374,15.4994055731145,0.00537655027737867
152,"Orlando, FL",FL,2010.69372558594,371994,185.007788737987,2025.03874511719,377497,186.414704859464,15.5345587382887,0.00536438367753171
153,"Key West, FL",FL,4781.4931640625,851479,178.078054445352,4541.58212890625,847359.8,186.578107793477,15.5481756494564,0.00535968561277777
154,"Grand Rapids, MI",MI,1504.88830566406,275918,183.34782652075,1511.94206542969,282530.8,186.866154768771,15.5721795640643,0.00535142386398116
155,"Elizabethtown, KY",KY,1226.12048339844,213692,174.283035715797,1212.12443847656,226581,186.928827443471,15.5774022869559,0.00534962966213655
156,"Joplin, MO",MO,927.509338378906,168047,181.180925136249,904.519470214844,169086.8,186.935500636419,15.5779583863682,0.00534943869193127
157,"Atlanta, GA",GA,1930.09143066406,354583,183.713058545627,1942.67241210938,363302.6,187.011766747396,15.5843138956163,0.00534725711324217
158,"Buffalo, NY",NY,1213.83837890625,226564,186.650878681352,1204.20490722656,225219.4,187.027472358263,15.5856226965219,0.00534680807793006
159,"Sherman, TX",TX,1419.43542480469,257602,181.482014256088,1438.60920410156,269468,187.31146668027,15.6092888900225,0.00533870145657949
160,"Michigan City, IN",IN,1064.10327148438,189624,178.200749007644,1040.42897949219,195384.6,187.792347052235,15.649362254353,0.00532503062929313
161,"Homosassa Springs, FL",FL,1442.39050292969,268627,186.237360447384,1426.41076660156,267994.6,187.880382197689,15.6566985164741,0.00532253547870577
162,"Little Rock, AR",AR,1150.40246582031,209394,182.018038226899,1152.04755859375,216638.2,188.04622984874,15.6705191540617,0.00531784126065371
163,"Corpus Christi, TX",TX,1395.72998046875,255481,183.044717513482,1413.3982421875,265973.6,188.180225545177,15.6816854620981,0.00531405463620262
164,"Elkhart, IN",IN,1150.275390625,213500,185.607726410625,1140.24885253906,214893.8,188.462193600531,15.7051828000442,0.00530610400364767
165,"Jacksonville, NC",NC,1248.94201660156,241341,193.23635268249,1261.92514648438,237886.2,188.510547287795,15.7092122739829,0.00530474296737001
166,"Columbus, OH",OH,1463.14672851563,272411,186.181600717765,1466.26750488281,277033.2,188.937693209085,15.7448077674238,0.00529275012844241
167,"Huntsville, AL",AL,1504.00549316406,266462,177.168235894823,1494.18361816406,283257.6,189.573487860913,15.7977906550761,0.0052749992168403
168,"Brownsville, TX",TX,1272.08129882813,240637,189.167940934028,1253.51057128906,237929,189.810126415865,15.8175105346554,0.00526842281222156
169,"Hagerstown, MD",MD,1406.44152832031,262965,186.971868154415,1380.81865234375,262195.6,189.884167305358,15.8236806087799,0.00526636851397869
170,"Fort Wayne, IN",IN,1106.33923339844,207394,187.4596812073,1103.70537109375,210159,190.41222911848,15.8676857598733,0.00525176352710924
171,"Greenville, SC",SC,1521.99584960938,282993,185.935461041258,1531.29191894531,292268.4,190.863934161751,15.9053278468126,0.0052393345258855
172,"Louisville, KY",KY,1274.77758789063,236332,185.390771099968,1265.63046875,241786.2,191.040122666137,15.9200102221781,0.00523450250159025
173,"Longview, TX",TX,1290.880859375,246844,191.221365013897,1279.39145507813,244846,191.376923011455,15.9480769176213,0.00522529040735044
174,"Bakersfield, CA",CA,1721.79187011719,331996,192.820053202716,1732.51669921875,332836.6,192.111625908187,16.0093021590156,0.00520530704621652
175,"Springfield, MO",MO,1275.85314941406,242554,190.111220959397,1269.33388671875,243880.8,192.132899429981,16.0110749524984,0.00520473069925451
