Future_Rank,RegionName,State,Avg_Future_Rent,Avg_Future_Sale,Future_Ratio,GRM,Percent_Rule
61,"Jackson, MS",MS,1352.742,206030.20,152.3056,12.6921,0.0065
62,"Champaign, IL",IL,1037.404,158007.80,152.3107,12.6925,0.0065
63,"Saginaw, MI",MI,949.49,144871.60,152.5783,12.7148,0.0065
64,"Chicago, IL",IL,1871.576,285583.60,152.5899,12.7158,0.0065
65,"Sumter, SC",SC,1249.024,191101.60,153.0007,12.75,0.0065
66,"Wichita Falls, TX",TX,1104.896,169361.00,153.2822,12.7735,0.0065
67,"Ames, IA",IA,1102.472,169238.20,153.5079,12.7923,0.0065
68,"St. Marys, GA",GA,1737.824,267550.60,153.9572,12.8297,0.0064
69,"Jefferson, GA",GA,2087.49,321462.00,153.9945,12.8328,0.0064
70,"Sierra Vista, AZ",AZ,1475.048,227353.60,154.133,12.8444,0.0064
71,"East Stroudsburg, PA",PA,1724.184,265848.60,154.188,12.849,0.0064
72,"Memphis, TN",TN,1492.028,230493.80,154.4835,12.8736,0.0064
73,"Burlington, NC",NC,1387.576,214733.20,154.7541,12.8961,0.0064
74,"Lake Charles, LA",LA,1094.918,169882.80,155.1557,12.9296,0.0064
75,"Myrtle Beach, SC",SC,1827.338,284286.20,155.5739,12.9644,0.0064
76,"Lubbock, TX",TX,1382.892,216404.00,156.4865,13.0405,0.0063
77,"North Port, FL",FL,2640.378,413519.00,156.6135,13.0511,0.0063
78,"Ocala, FL",FL,1606.532,252556.80,157.2062,13.1005,0.0063
79,"Tuscaloosa, AL",AL,1455.014,228848.60,157.2827,13.1068,0.0063
80,"Enterprise, AL",AL,1290.674,203411.20,157.6007,13.1333,0.0063
81,"Kingsport, TN",TN,1185.054,186970.40,157.7737,13.1478,0.0063
82,"Erie, PA",PA,1027.754,162650.80,158.2584,13.1882,0.0063
83,"Athens, GA",GA,1821.456,288837.00,158.5747,13.2145,0.0063
84,"Niles, MI",MI,1290.728,204677.40,158.5751,13.2145,0.0063
85,"Huntsville, AL",AL,1521.73,241908.40,158.9693,13.2474,0.0062
86,"Elizabethtown, KY",KY,1216.774,194902.40,160.1796,13.3483,0.0062
87,"Detroit, MI",MI,1365.318,218718.80,160.1962,13.3496,0.0062
88,"Florence, AL",AL,1099.278,176189.80,160.2777,13.3564,0.0062
89,"Alexandria, LA",LA,1092.884,175455.40,160.5434,13.3786,0.0062
90,"Bloomington, IL",IL,1123.632,180522.20,160.6595,13.3882,0.0062
91,"Davenport, IA",IL,936.178,150521.20,160.7826,13.3985,0.0062
92,"Lakeland, FL",FL,1849.694,298224.80,161.2292,13.4357,0.0062
93,"New Haven, CT",CT,1869.076,302221.00,161.6954,13.4746,0.0061
94,"Columbia, SC",SC,1447.568,234278.60,161.8428,13.4869,0.0061
95,"Waco, TX",TX,1446.616,234516.20,162.1136,13.5094,0.0061
96,"Winston, NC",NC,1522.534,248123.40,162.9673,13.5806,0.0061
97,"Wheeling, WV",OH,864.814,141052.00,163.1009,13.5917,0.0061
98,"Fayetteville, NC",NC,1380.846,225387.80,163.2244,13.602,0.0061
99,"Springfield, OH",OH,927.23,151527.00,163.419,13.6182,0.0061
100,"Cincinnati, OH",OH,1435.14,234672.60,163.5189,13.6265,0.0061
101,"Michigan City, IN",IN,1087.938,178154.00,163.7538,13.6461,0.0061
102,"Allentown, PA",PA,1678.194,275063.00,163.9041,13.6586,0.0061
103,"Elizabeth City, NC",NC,1449.89,238865.60,164.7473,13.7289,0.006
104,"Lansing, MI",MI,1079.86,178142.40,164.968,13.7473,0.006
105,"Deltona, FL",FL,1870.95,308780.60,165.0394,13.7532,0.006
106,"Hickory, NC",NC,1407.12,232305.20,165.0926,13.7577,0.006
107,"Key West, FL",FL,5132.868,849147.20,165.4332,13.7861,0.006
108,"Findlay, OH",OH,1159.298,192348.80,165.9183,13.8265,0.006
109,"Terre Haute, IN",IN,924.746,153776.40,166.2904,13.8575,0.006
110,"New Orleans, LA",LA,1589.608,265552.40,167.0552,13.9212,0.0059
111,"Kalamazoo, MI",MI,1230.188,205595.80,167.1255,13.9271,0.0059
112,"Tullahoma, TN",TN,1379.352,230597.20,167.1779,13.9314,0.0059
113,"Palm Bay, FL",FL,1948.712,326558.80,167.5767,13.9647,0.0059
114,"Greensboro, NC",NC,1459.122,244694.40,167.6997,13.9749,0.0059
115,"Muskegon, MI",MI,1079.766,181376.20,167.9773,13.9981,0.0059
116,"Spartanburg, SC",SC,1397.114,234705.00,167.9927,13.9993,0.0059
117,"Tampa, FL",FL,2084.516,350459.00,168.1248,14.0104,0.0059
118,"Tulsa, OK",OK,1291.628,218691.40,169.3145,14.1095,0.0059
119,"Corsicana, TX",TX,1281.146,217113.80,169.4684,14.1223,0.0059
120,"Indianapolis, IN",IN,1454.124,246788.40,169.7162,14.143,0.0058
121,"New York, NY",NY,3001.612,510598.20,170.1079,14.1756,0.0058
122,"Hanford, CA",CA,1875.708,321470.20,171.386,14.2821,0.0058
123,"Hammond, LA",LA,1163.93,199506.60,171.4077,14.2839,0.0058
124,"St. Louis, MO",MO,1309.562,224485.00,171.4199,14.2849,0.0058
125,"Bridgeport, CT",CT,2674.882,458550.00,171.4281,14.2856,0.0058
126,"Savannah, GA",GA,1755.054,301286.60,171.6679,14.3056,0.0058
127,"New Bern, NC",NC,1479.398,254108.40,171.7647,14.3137,0.0058
128,"Scranton, PA",PA,1123.95,193329.60,172.009,14.334,0.0058
129,"Cape Girardeau, MO",MO,1037.938,178642.60,172.1129,14.3427,0.0058
130,"Lafayette, IN",IN,1234.594,212530.60,172.1461,14.3455,0.0058
131,"Bangor, ME",ME,1295.366,223182.60,172.293,14.3577,0.0058
132,"Springfield, MA",MA,1689.816,291186.80,172.3186,14.3598,0.0058
133,"Little Rock, AR",AR,1151.502,199468.40,173.2245,14.4353,0.0057
134,"Chattanooga, TN",TN,1575.284,273172.40,173.4115,14.4509,0.0057
135,"Shreveport, LA",LA,1172.326,203686.60,173.7456,14.4788,0.0057
136,"Sherman, TX",TX,1388.16,241259.20,173.7978,14.4831,0.0057
137,"Brownsville, TX",TX,1303.916,226652.00,173.824,14.4853,0.0057
138,"Amarillo, TX",TX,1362.386,237240.60,174.1361,14.5113,0.0057
139,"Canton, OH",OH,993.896,173215.60,174.2794,14.5232,0.0057
140,"Joplin, MO",MO,958.504,167235.80,174.4758,14.5396,0.0057
141,"Monroe, LA",LA,1071.622,187178.80,174.6686,14.5557,0.0057
142,"Oklahoma City, OK",OK,1302.974,227826.80,174.8513,14.5709,0.0057
143,"Rochester, MN",MN,1508.556,263847.00,174.9003,14.575,0.0057
144,"Knoxville, TN",TN,1691.228,296747.00,175.4624,14.6218,0.0056
145,"Flint, MI",MI,992.218,174110.20,175.4757,14.6229,0.0056
146,"Corpus Christi, TX",TX,1358.656,239811.20,176.5061,14.7088,0.0056
147,"Pensacola, FL",FL,1602.314,282957.40,176.5929,14.716,0.0056
148,"Philadelphia, PA",PA,1782.126,315208.00,176.8718,14.7393,0.0056
149,"Yuma, AZ",AZ,1533.468,271449.80,177.0169,14.7514,0.0056
150,"McAllen, TX",TX,1183.134,209910.00,177.4186,14.7848,0.0056
151,"Tyler, TX",TX,1589.842,282636.00,177.7761,14.8146,0.0056
152,"Ann Arbor, MI",MI,1842.934,328632.20,178.3201,14.86,0.0056
153,"Hartford, CT",CT,1605.652,286767.20,178.5986,14.8832,0.0055
154,"Louisville, KY",KY,1286.054,229712.40,178.618,14.8848,0.0055
155,"Atlanta, GA",GA,1909.764,341969.80,179.0639,14.9219,0.0055
156,"Greenville, SC",SC,1504.038,269469.00,179.1636,14.9303,0.0055
157,"Torrington, CT",CT,1710.834,307021.80,179.4573,14.9547,0.0055
158,"Augusta, GA",GA,1345.752,241662.40,179.5742,14.9645,0.0055
159,"Grand Rapids, MI",MI,1481.838,266378.20,179.762,14.9801,0.0055
160,"Salisbury, MD",DE,1834.746,330947.60,180.3778,15.0314,0.0055
161,"Morgantown, WV",WV,1249.852,225479.80,180.4051,15.0337,0.0055
162,"Lake Havasu City, AZ",AZ,1660.536,300026.80,180.6806,15.0567,0.0055
163,"Harrisburg, PA",PA,1284.248,232054.40,180.6928,15.0577,0.0055
164,"Cleveland, TN",TN,1440.236,260410.20,180.8107,15.0675,0.0055
165,"Lynchburg, VA",VA,1354.15,246093.40,181.7327,15.1443,0.0055
166,"Mobile, AL",AL,1126.226,205330.20,182.317,15.193,0.0054
167,"Hagerstown, MD",MD,1448.808,264423.20,182.5108,15.2092,0.0054
168,"Visalia, CA",CA,1795.728,328096.00,182.7091,15.2257,0.0054
169,"Homosassa Springs, FL",FL,1465.886,268410.00,183.1042,15.2586,0.0054
170,"Wausau, WI",WI,1002.778,184023.40,183.5135,15.2927,0.0054
171,"College Station, TX",TX,1590.414,291882.40,183.526,15.2938,0.0054
172,"Orlando, FL",FL,1982.562,364167.80,183.6854,15.3071,0.0054
173,"Birmingham, AL",AL,1304.354,239594.60,183.6883,15.3073,0.0054
174,"Gainesville, FL",FL,1605.206,295619.00,184.1626,15.3468,0.0054
175,"Columbus, OH",OH,1453.374,267714.60,184.2021,15.3501,0.0054
